exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
NSE,WELENT,INE625G01013,EQ,2026-09-21,784.7,823.35,2139760,1692006869.15,42810,744.62,655.462,,1013453.6,2.1114,841.9,841.9,841.9,622.6,557.1,557.1,841.9,517.95,-6.7942,51.5011,24.2695,27.8013,63.3638,5.27,9.0544,5.3826,19.7171,,27.0954,10.8115
BSE,WELINV,INE389K01018,T,2026-09-18,2200,2204.2,2,4400,2,2022.885,,,754.6,0.0027,2231.65,,,1751.7,,,2231.65,1571,-1.4182,40.0382,24.9645,,71.5238,2.1864,0,8.7556,,,,
NSE,WELINV,INE389K01018,BE,2026-09-21,2366.4,2320,173,405781.8,20,2263.14,2019.986,,407.7,0.4243,2367.1,2367.1,2367.1,2118,1710,1687,2367.1,1686.3,-0.0296,40.3309,17.0326,31.4667,64.664,2.5639,3.1111,4.5627,17.1493,,20.5863,10.8257
BSE,WELSPLSOL,INE731F01037,B,2026-09-21,55.73,56.02,117561,6587871,574,54.732,52.3294,,158946.25,0.7396,61.89,61.89,61.89,49.73,47.12,47.12,63.29,44.31,-11.945,25.773,8.382,5.6894,56.5524,5.6638,4.6512,1.8234,6.4985,,10.0085,-0.1732
NSE,WELSPLSOL,INE731F01037,EQ,2026-09-21,55.74,55.65,658809,36776024.74,4542,54.6455,52.2862,,1178234.5,0.5591,61.99,61.99,61.99,49.75,46.78,46.78,63.25,44.01,-11.8735,26.653,8.4858,5.8891,56.5675,5.7614,5.3455,2.0029,6.6056,,9.8822,-0.2179
BSE,WELSPUNLIV,INE192B01031,A,2026-09-21,216.1,214.65,128417,27751311,2042,202.6075,180.554,,289935.6,0.4429,218.15,218.15,218.15,187.5,153.1,153.1,218.15,133.2,-0.9397,62.2372,14.1574,30.0632,72.093,3.3252,1.7016,6.6594,19.6872,,22.0454,10.1503
NSE,WELSPUNLIV,INE192B01031,EQ,2026-09-21,215.87,214.66,2702207,583894022.7,29238,202.6685,180.5664,,3976838,0.6795,218.2,218.2,218.2,187.31,152.98,152.98,218.2,133.34,-1.0678,61.8944,14.0841,29.9091,71.5759,3.3893,1.8294,6.5138,19.5516,,22.0975,10.1514
BSE,WENDT,INE274C01019,B,2026-09-21,8643.35,8771.35,497,4311234,146,8394.5025,8139.263,,811.5,0.6124,9100,9100,9100,7982,7300,7300,9100,6611.55,-5.0181,30.7311,5.7886,10.0384,61.3297,3.5776,1.786,2.9644,6.1933,,3.5526,2.6085
NSE,WENDT,INE274C01019,EQ,2026-09-21,8640.5,8767.5,5926,51424050,1838,8393.25,8139.23,,17361.35,0.3413,9100,9100,9100,7970.5,7300,7300,9100,6578.5,-5.0495,31.3445,5.5973,10.1824,60.5951,4.0606,3.1747,2.9458,6.1587,,3.5216,2.6127
BSE,WEPSOLN,INE434B01029,X,2026-09-21,36.23,37.23,7546,273159,82,34.5695,31.8974,,80796.7,0.0934,39.58,39.58,39.58,27.4,25,23.1,39.58,23.1,-8.4639,56.8398,25.6677,44.8621,51.1252,5.8357,8.2633,4.8034,13.5829,,13.4524,14.1312
BSE,WESTLEIRES,INE266P01017,X,2026-09-18,71.85,71.11,4,287,2,73.164,80.4946,,319.15,0.0125,78,97.64,,65.25,65.25,,97.64,65.25,-26.4134,10.1149,-2.3114,-20.1667,38.3514,4.407,0,-1.796,-10.7394,,-13.0279,
BSE,WESTLIFE,INE274F01020,A,2026-09-21,563,565,1399,785132,141,556.635,540.91,,4909.65,0.2849,600.3,605.1,605.1,521.3,443.75,443.75,605.1,424.65,-6.9575,32.5798,-4.6248,10.805,47.2727,3.3729,1.9684,1.1435,4.0839,,0.2409,5.5469
NSE,WESTLIFE,INE274F01020,EQ,2026-09-21,564.1,564.4,84362,47445765.3,4951,556.9275,540.744,,438691.2,0.1923,602.35,608.95,608.95,520.2,443.75,443.75,608.95,421.2,-7.3651,33.9269,-4.0891,11.1308,46.9344,3.6683,3.1386,1.2879,4.3192,,0.2646,5.5939
BSE,WEWIN,INE082W01014,B,2026-09-21,43,43,15,645,1,44.617,45.4842,,370.7,0.0405,51.54,51.54,54.9,40.35,40.35,40.35,60.95,40.35,-29.4504,6.5675,-5.7018,-12.9555,41.6301,5.3106,0,-3.6242,-5.4617,,-1.5729,
